Anexo;Segmento;item;CEST;NCM;Descri??o
VII;COMBUST?VEIS E LUBRIFICANTES;170;601700;3403;Prepara??es lubrificantes, exceto as contendo, como constituintes de base, 70% ou mais, em peso, de ?leos de petr?leo ou de minerais betuminosos
VII;COMBUST?VEIS E LUBRIFICANTES;180;601800;2710.20.00;"?leos de petr?leo ou de minerais betuminosos (exceto ?leos brutos) e prepara??es n?o especificadas nem compreendidas noutras posi??es, que contenham, como constituintes b?sicos, 70% ou mais, em peso, de ?leos de petr?leo ou de minerais betuminosos, que contenham biodiesel, exceto os res?duos de ?leos?"
VIII;ENERGIA EL?TRICA;10;700100;2716.00.00;"Energia el?trica?"
IX;FERRAMENTAS;10;800100;4016.99.90;Ferramentas de borracha vulcanizada n?o endurecida
IX;FERRAMENTAS;20;800200;4417.00.10 4417.00.90;Ferramentas, arma??es e cabos de ferramentas, de madeira
IX;FERRAMENTAS;30;800300;6804;M?s e artefatos semelhantes, sem arma??o, para moer, desfibrar, triturar, amolar, polir, retificar ou cortar pedras para amolar ou para polir, manualmente, e suas partes, de pedras naturais, de abrasivos naturais ou artificiais aglomerados ou de cer?mica, mesmo com partes de outras mat?rias
IX;FERRAMENTAS;40;800400;8201;P?s, alvi?es, picaretas, enxadas, sachos, forcados e forquilhas, ancinhos e raspadeiras machados, pod?es e ferramentas semelhantes com gume tesouras de podar de todos os tipos foices e foicinhas, facas para feno ou para palha, tesouras para sebes, cunhas e outras ferramentas manuais para agricultura, horticultura ou silvicultura
IX;FERRAMENTAS;50;800500;8202.20.00;Folhas de serras de fita
IX;FERRAMENTAS;60;800600;8202.91.00;L?minas de serras m?quinas
IX;FERRAMENTAS;70;800700;8202;Serras manuais e outras folhas de serras (inclu?das as fresas-serras e as folhas n?o dentadas para serrar), exceto as classificadas nos CEST 08.005.00 e 08.006.00
IX;FERRAMENTAS;80;800800;8203;Limas, grosas, alicates (mesmo cortantes), tenazes, pin?as, cisalhas para metais, corta-tubos, corta-pinos, saca-bocados e ferramentas semelhantes, manuais, exceto as pin?as para sobrancelhas classificadas na posi??o 8203.20.90
IX;FERRAMENTAS;90;800900;8204;Chaves de porcas, manuais (inclu?das as chaves dinamom?tricas) chaves de caixa intercambi?veis, mesmo com cabos
IX;FERRAMENTAS;100;801000;8205;Ferramentas manuais (inclu?dos os diamantes de vidraceiro) n?o especificadas nem compreendidas em outras posi??es, lamparinas ou l?mpadas de soldar (ma?aricos) e semelhantes tornos de apertar, sargentos e semelhantes, exceto os acess?rios ou partes de m?quinas-ferramentas bigornas forjas-port?teis m?s com arma??o, manuais ou de pedal
IX;FERRAMENTAS;110;801100;8206.00.00;Ferramentas de pelo menos duas das posi??es 8202 a 8205, acondicionadas em sortidos para venda a retalho
IX;FERRAMENTAS;120;801200;8207.40 8207.60 8207.70;Ferramentas de roscar interior ou exteriormente de mandrilar ou de brochar e de fresar
IX;FERRAMENTAS;130;801300;8207;Outras ferramentas intercambi?veis para ferramentas manuais, mesmo mec?nicas, ou para m?quinas-ferramentas (por exemplo, de embutir, estampar, puncionar, furar, tornear, aparafusar), inclu?das as fieiras de estiragem ou de extrus?o, para metais, e as ferramentas de perfura??o ou de sondagem, exceto forma ou gabarito de produtos em epoxy e as classificadas no CEST 08.012.00
IX;FERRAMENTAS;140;801400;8208;Facas e l?minas cortantes, para m?quinas ou para aparelhos mec?nicos
IX;FERRAMENTAS;150;801500;8209.00.11;Plaquetas ou pastilhas intercambi?veis
IX;FERRAMENTAS;160;801600;8209.00;Outras plaquetas, varetas, pontas e objetos semelhantes para ferramentas, n?o montados, de ceramais (?cermets?), exceto as classificadas no CEST 08.015.00
IX;FERRAMENTAS;170;801700;8211;Facas de l?mina cortante ou serrilhada, inclu?das as podadeiras de l?mina m?vel, e suas l?minas, exceto as de uso dom?stico
IX;FERRAMENTAS;180;801800;8213;Tesouras e suas l?minas
IX;FERRAMENTAS;190;801900;8467;Ferramentas pneum?ticas, hidr?ulicas ou com motor (el?trico ou n?o el?trico) incorporado, de uso manual, exceto o descrito no CEST 08.019.01
IX;FERRAMENTAS;191;801901;8467.81.00;Moto-serras port?teis de corrente, com motor incorporado, n?o el?trico, de uso agr?cola
IX;FERRAMENTAS;200;802000;9015;Instrumentos e aparelhos de geodesia, topografia, agrimensura, nivelamento, fotogrametria, hidrografia, oceanografia, hidrologia, meteorologia ou de geof?sica, exceto bussolas tel?metros
IX;FERRAMENTAS;210;802100;"9017.20.009017.309017.809017.90.90";Instrumentos de desenho, de tra?ado ou de c?lculo metros, micr?metros, paqu?metros, calibres e semelhantes partes e acess?rios
IX;FERRAMENTAS;220;802200;"9025.11.909025.90.10";Term?metros, suas partes e acess?rios
IX;FERRAMENTAS;230;802300;"9025.199025.90.90";"Pir?metros, suas partes e acess?rios?"
X;L?MPADAS, REATORES E ?STARTER?;10;900100;8539;L?mpadas el?tricas
X;L?MPADAS, REATORES E ?STARTER?;20;900200;8540;L?mpadas eletr?nicas
X;L?MPADAS, REATORES E ?STARTER?;30;900300;8504.10.00;Reatores para l?mpadas ou tubos de descargas
X;L?MPADAS, REATORES E ?STARTER?;40;900400;8536.50;?Starter?
X;L?MPADAS, REATORES E ?STARTER?;50;900500;8539.50.00;"L?mpadas de LED (Diodos Emissores de Luz)?"
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;10;1000100;2522;Cal
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;20;1000200;"3816.00.13824.50.00";Argamassas
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;30;1000300;3214.90.00;Outras argamassas
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;40;1000400;3910.00;Silicones em formas prim?rias, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;50;1000500;3916;Revestimentos de PVC e outros pl?sticos forro, sancas e afins de PVC, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;60;1000600;3917;Tubos, e seus acess?rios (por exemplo, juntas, cotovelos, flanges, uni?es), de pl?sticos, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;70;1000700;3918;Revestimento de pavimento de PVC e outros pl?sticos
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;80;1000800;3919;Chapas, folhas, tiras, fitas, pel?culas e outras formas planas, autoadesivas, de pl?sticos, mesmo em rolos, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;90;1000900;"391939203921";Veda rosca, lona pl?stica para uso na constru??o, fitas isolantes e afins
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;100;1001000;3921;Telha de pl?stico, mesmo refor?ada com fibra de vidro
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;110;1001100;3921;Cumeeira de pl?stico, mesmo refor?ada com fibra de vidro
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;120;1001200;3921;Chapas, laminados pl?sticos em bobina, para uso na constru??o, exceto os descritos no CEST 10.010.00 e 10.011.00
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;130;1001300;3922;Banheiras, boxes para chuveiros, pias, lavat?rios, bid?s, sanit?rios e seus assentos e tampas, caixas de descarga e artigos semelhantes para usos sanit?rios ou higi?nicos, de pl?sticos
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;140;1001400;3924;Artefatos de higiene/toucador de pl?stico, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;150;1001500;3925.10.00;Caixa d??gua, inclusive sua tampa, de pl?stico, mesmo refor?adas com fibra de vidro
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;160;1001600;3925.90;Outras telhas, cumeeira e caixa d??gua, inclusive sua tampa, de pl?stico, mesmo refor?adas com fibra de vidro
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;170;1001700;"3925.10.003925.90";Artefatos para apetrechamento de constru??es, de pl?sticos, n?o especificados nem compreendidos em outras posi??es, incluindo persianas, sancas, molduras, apliques e rosetas, caixilhos de polietileno e outros pl?sticos, exceto os descritos nos CEST 10.015.00 e 10.016.00
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;180;1001800;3925.20.00;Portas, janelas e seus caixilhos, alizares e soleiras
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;190;1001900;3925.30.00;Postigos, estores (inclu?das as venezianas) e artefatos semelhantes e suas partes
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;200;1002000;3926.90;Outras obras de pl?stico, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;210;1002100;4814;Papel de parede e revestimentos de parede semelhantes papel para vitrais
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;220;1002200;6810.19.00;Telhas de concreto
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;230;1002300;6811;REVOGADO
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;240;1002400;6811;Caixas d??gua, tanques e reservat?rios e suas tampas, telhas, calhas, cumeeiras e afins, de fibrocimento, cimento-celulose ou semelhantes, contendo ou n?o amianto.
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;250;1002500;6901.00.00;Tijolos, placas (lajes), ladrilhos e outras pe?as cer?micas de farinhas siliciosas f?sseis (?kieselghur?, tripolita, diatomita, por exemplo) ou de terras siliciosas semelhantes
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;260;1002600;6902;Tijolos, placas (lajes), ladrilhos e pe?as cer?micas semelhantes, para uso na constru??o, refrat?rios, que n?o sejam de farinhas siliciosas f?sseis nem de terras siliciosas semelhantes
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;270;1002700;6904;Tijolos para constru??o, tijoleiras, tapa-vigas e produtos semelhantes, de cer?mica
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;280;1002800;6905;Telhas, elementos de chamin?s, condutores de fuma?a, ornamentos arquitet?nicos, de cer?mica, e outros produtos cer?micos para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;290;1002900;6906.00.00;Tubos, calhas ou algerozes e acess?rios para canaliza??es, de cer?mica
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;300;1003000;6907;Ladrilhos e placas de cer?mica, exclusivamente para pavimenta??o ou revestimento
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;301;1003001;6907;Cubos, pastilhas e artigos semelhantes de cer?mica, mesmo com suporte, exceto os descritos CEST 10.030.00
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;310;1003100;6910;Pias, lavat?rios, colunas para lavat?rios, banheiras, bid?s, sanit?rios, caixas de descarga, mict?rios e aparelhos fixos semelhantes para usos sanit?rios, de cer?mica
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;320;1003200;6912.00.00;Artefatos de higiene/toucador de cer?mica
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;330;1003300;7003;Vidro vazado ou laminado, em chapas, folhas ou perfis, mesmo com camada absorvente, refletora ou n?o, mas sem qualquer outro trabalho
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;340;1003400;7004;Vidro estirado ou soprado, em folhas, mesmo com camada absorvente, refletora ou n?o, mas sem qualquer outro trabalho
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;350;1003500;7005;Vidro flotado e vidro desbastado ou polido em uma ou em ambas as faces, em chapas ou em folhas, mesmo com camada absorvente, refletora ou n?o, mas sem qualquer outro trabalho
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;360;1003600;7007.19.00;Vidros temperados
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;370;1003700;7007.29.00;Vidros laminados
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;380;1003800;7008;Vidros isolantes de paredes m?ltiplas
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;390;1003900;7016;Blocos, placas, tijolos, ladrilhos, telhas e outros artefatos, de vidro prensado ou moldado, mesmo armado, para uso na constru??o cubos, pastilhas e outros artigos semelhantes
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;400;1004000;7214.20.00;Barras pr?prias para constru??es, exceto vergalh?es
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;410;1004100;7308.90.10;Outras barras pr?prias para constru??es, exceto vergalh?es
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;420;1004200;7214.20.00;Vergalh?es
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;430;1004300;"72137308.90.10";Outros vergalh?es
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;440;1004400;"7217.10.907312";Fios de ferro ou a?o n?o ligados, n?o revestidos, mesmo polidos cordas, cabos, tran?as (entran?ados), lingas e artefatos semelhantes, de ferro ou a?o, n?o isolados para usos el?tricos
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;450;1004500;7217.20.10;Outros fios de ferro ou a?o, n?o ligados, galvanizados com teor de carbono superior ou igual a 0,6%, em peso
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;451;1004501;7217.20.90;Outros fios de ferro ou a?o, n?o ligados, galvanizados
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;460;1004600;7307;Acess?rios para tubos (inclusive uni?es, cotovelos, luvas ou mangas), de ferro fundido, ferro ou a?o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;470;1004700;7308.30.00;Portas e janelas, e seus caixilhos, alizares e soleiras de ferro fundido, ferro ou a?o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;480;1004800;"7308.40.007308.90";Material para andaimes, para arma??es (cofragens) e para escoramentos, (inclusive arma??es prontas, para estruturas de concreto armado ou argamassa armada), eletrocalhas e perfilados de ferro fundido, ferro ou a?o, pr?prios para constru??o, exceto treli?as de a?o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;490;1004900;7308.40.00;Treli?as de a?o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;500;1005000;7308.90.90;Telhas met?licas
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;510;1005100;7310;Caixas diversas (tais como caixa de correio, de entrada de ?gua, de energia, de instala??o) de ferro fundido, ferro ou a?o pr?prias para a constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;520;1005200;7313.00.00;Arame farpado, de ferro ou a?o, arames ou tiras, retorcidos, mesmo farpados, de ferro ou a?o, dos tipos utilizados em cercas
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;530;1005300;7314;Telas met?licas, grades e redes, de fios de ferro ou a?o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;540;1005400;7315.11.00;Correntes de rolos, de ferro fundido, ferro ou a?o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;550;1005500;7315.12.90;Outras correntes de elos articulados, de ferro fundido, ferro ou a?o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;560;1005600;7315.82.00;Correntes de elos soldados, de ferro fundido, de ferro ou a?o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;570;1005700;7317.00;Tachas, pregos, percevejos, esc?pulas, grampos ondulados ou biselados e artefatos semelhantes, de ferro fundido, ferro ou a?o, mesmo com a cabe?a de outra mat?ria, exceto cobre
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;580;1005800;7318;Parafusos, pinos ou pernos, roscados, porcas, tira-fundos, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (inclu?das as de press?o) e artefatos semelhantes, de ferro fundido, ferro ou a?o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;590;1005900;7323;Palha de ferro ou a?o, exceto os de uso dom?stico classificados na posi??o NCM 7323.10.00
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;591;1005901;7323;Esponjas, esfreg?es, luvas e artefatos semelhantes para limpeza, polimento e usos semelhantes, de ferro ou a?o, exceto os de uso dom?stico classificados na posi??o NCM 7323.10.00
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;600;1006000;7324;Artefatos de higiene ou de toucador, e suas partes, de ferro fundido, ferro ou a?o, inclu?das as pias, banheiras, lavat?rios, cubas, mict?rios, tanques e afins de ferro fundido, ferro ou a?o, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;610;1006100;7325;Outras obras moldadas, de ferro fundido, ferro ou a?o, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;620;1006200;7326;Abra?adeiras
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;630;1006300;7407;Barras de cobre
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;640;1006400;7411.10.10;Tubos de cobre e suas ligas, para instala??es de ?gua quente e g?s, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;650;1006500;7412;Acess?rios para tubos (por exemplo, uni?es, cotovelos, luvas ou mangas) de cobre e suas ligas, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;660;1006600;7415;Tachas, pregos, percevejos, esc?pulas e artefatos semelhantes, de cobre, ou de ferro ou a?o com cabe?a de cobre, parafusos, pinos ou pernos, roscados, porcas, ganchos roscados, rebites, chavetas, cavilhas, contrapinos, arruelas (inclu?das as de press?o), e artefatos semelhantes, de cobre
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;670;1006700;7418.20.00;Artefatos de higiene/toucador de cobre, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;680;1006800;7607.19.90;Manta de subcobertura aluminizada
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;690;1006900;7608;Tubos de alum?nio e suas ligas, para refrigera??o e ar condicionado, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;700;1007000;7609.00.00;Acess?rios para tubos (por exemplo, uni?es, cotovelos, luvas ou mangas), de alum?nio, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;710;1007100;7610;Constru??es e suas partes (por exemplo, pontes e elementos de pontes, torres, p?rticos ou pilones, pilares, colunas, arma??es, estruturas para telhados, portas e janelas, e seus caixilhos, alizares e soleiras, balaustradas), de alum?nio, exceto as constru??es pr?-fabricadas da posi??o 9406 chapas, barras, perfis, tubos e semelhantes, de alum?nio, pr?prios para constru??es
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;720;1007200;7615.20.00;Artefatos de higiene/toucador de alum?nio, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;730;1007300;7616;Outras obras de alum?nio, pr?prias para constru??es, inclu?das as persianas
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;740;1007400;8302.41.00;Outras guarni??es, ferragens e artigos semelhantes de metais comuns, para constru??es, inclusive puxadores.
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;750;1007500;8301;Fechaduras e ferrolhos (de chave, de segredo ou el?tricos), de metais comuns, inclu?das as suas partes fechos e arma??es com fecho, com fechadura, de metais comuns chaves para estes artigos, de metais comuns exceto os de uso automotivo
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;760;1007600;8302.10.00;Dobradi?as de metais comuns, de qualquer tipo
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;770;1007700;8307;Tubos flex?veis de metais comuns, mesmo com acess?rios, para uso na constru??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;780;1007800;8311;Fios, varetas, tubos, chapas, eletrodos e artefatos semelhantes, de metais comuns ou de carbonetos met?licos, revestidos exterior ou interiormente de decapantes ou de fundentes, para soldagem (soldadura) ou dep?sito de metal ou de carbonetos met?licos fios e varetas de p?s de metais comuns aglomerados, para metaliza??o por proje??o
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;790;1007900;8481;Torneiras, v?lvulas (inclu?das as redutoras de press?o e as termost?ticas) e dispositivos semelhantes, para canaliza??es, caldeiras, reservat?rios, cubas e outros recipientes
XI;MATERIAIS DE CONSTRU??O E CONG?NERES;800;1008000;7009;"Espelhos de vidro, mesmo emoldurados, exceto os de uso automotivo?"
XII;MATERIAIS DE LIMPEZA;10;1100100;"2828.90.112828.90.193206.41.003402.20.003808.94.19";?gua sanit?ria, branqueador e outros alvejantes
XII;MATERIAIS DE LIMPEZA;20;1100200;3401.20.90;Sab?es em p?, flocos, palhetas, gr?nulos ou outras formas semelhantes, para lavar roupas
XII;MATERIAIS DE LIMPEZA;30;1100300;3401.20.90;Sab?es l?quidos para lavar roupas
XII;MATERIAIS DE LIMPEZA;40;1100400;3402.20.00;Detergentes em p?, flocos, palhetas, gr?nulos ou outras formas semelhantes
XII;MATERIAIS DE LIMPEZA;50;1100500;3402.20.00;Detergentes l?quidos, exceto para lavar roupa
XII;MATERIAIS DE LIMPEZA;60;1100600;3402.20.00;Detergente l?quido para lavar roupa
XII;MATERIAIS DE LIMPEZA;70;1100700;3402;Outros agentes org?nicos de superf?cie (exceto sab?es) prepara??es tensoativas, prepara??es para lavagem (inclu?das as prepara??es auxiliares para lavagem) e prepara??es para limpeza (inclusive multiuso e limpadores), mesmo contendo sab?o, exceto os produtos descritos nos CEST 11.001.00, 11.004.00, 11.005.00 e 11.006.00 em embalagem de conte?do inferior ou igual a 50 litros ou 50 kg
XII;MATERIAIS DE LIMPEZA;80;1100800;3809.91.90;Amaciante/suavizante
XII;MATERIAIS DE LIMPEZA;90;1100900;"3924.10.003924.90.006805.30.106805.30.90";Esponjas para limpeza
XII;MATERIAIS DE LIMPEZA;100;1101000;"22072208.90.00";?lcool et?lico para limpeza
XII;MATERIAIS DE LIMPEZA;110;1101100;7323.10.00;Esponjas e palhas de a?o esponjas para limpeza, polimento ou uso semelhantes todas de uso dom?stico
XII;MATERIAIS DE LIMPEZA;120;1101200;3923.2;"Sacos de lixo de conte?do igual ou inferior a 100 litros?"
XIII;MATERIAIS EL?TRICOS;10;1200100;8504;Transformadores, bobinas de reat?ncia e de auto indu??o, inclusive os transformadores de pot?ncia superior a 16 KVA, classificados nas posi??es 8504.33.00 e 8504.34.00 exceto os demais transformadores da subposi??o 8504.3, os reatores para l?mpadas el?tricas de descarga classificados no c?digo 8504.10.00, os carregadores de acumuladores do c?digo 8504.40.10, os equipamentos de alimenta??o ininterrupta de energia (UPS ou ?no break?), no c?digo 8504.40.40 e os de uso automotivo
XIII;MATERIAIS EL?TRICOS;20;1200200;8516;Aquecedores el?tricos de ?gua, inclu?dos os de imers?o, chuveiros ou duchas el?tricos, torneiras el?tricas, resist?ncias de aquecimento, inclusive as de duchas e chuveiros el?tricos e suas partes exceto outros fornos, fogareiros (inclu?das as chapas de coc??o), grelhas e assadeiras, classificados na posi??o 8516.60.00
XIII;MATERIAIS EL?TRICOS;30;1200300;8535;Aparelhos para interrup??o, seccionamento, prote??o, deriva??o, liga??o ou conex?o de circuitos el?tricos (por exemplo, interruptores, comutadores, corta-circuitos, para-raios, limitadores de tens?o, eliminadores de onda, tomadas de corrente e outros conectores, caixas de jun??o), para tens?o superior a 1.000V, exceto os de uso automotivo
XIII;MATERIAIS EL?TRICOS;40;1200400;8536;Aparelhos para interrup??o, seccionamento, prote??o, deriva??o, liga??o ou conex?o de circuitos el?tricos (por exemplo, interruptores, comutadores, rel?s, corta-circuitos, eliminadores de onda, plugues e tomadas de corrente, suportes para l?mpadas e outros conectores, caixas de jun??o), para uma tens?o n?o superior a 1.000V conectores para fibras ?pticas, feixes ou cabos de fibras ?pticas exceto ?starter? classificado na subposi??o 8536.50 e os de uso automotivo
XIII;MATERIAIS EL?TRICOS;50;1200500;8538;Partes reconhec?veis como exclusiva ou principalmente destinadas aos aparelhos das posi??es 8535 e 8536
XIII;MATERIAIS EL?TRICOS;60;1200600;7413.00.00;Cabos, tran?as e semelhantes, de cobre, n?o isolados para usos el?tricos, exceto os de uso automotivo
XIII;MATERIAIS EL?TRICOS;70;1200700;"854476057614";Fios, cabos (inclu?dos os cabos coaxiais) e outros condutores, isolados ou n?o, para usos el?tricos (inclu?dos os de cobre ou alum?nio, envernizados ou oxidados anodicamente), mesmo com pe?as de conex?o, inclusive fios e cabos el?tricos, para tens?o n?o superior a 1000V, para uso na constru??o fios e cabos telef?nicos e para transmiss?o de dados cabos de fibras ?pticas, constitu?dos de fibras embainhadas individualmente, mesmo com condutores el?tricos ou munidos de pe?as de conex?o cordas, cabos, tran?as e semelhantes, de alum?nio, n?o isolados para uso el?tricos exceto os de uso automotivo
XIII;MATERIAIS EL?TRICOS;80;1200800;8546;Isoladores de qualquer mat?ria, para usos el?tricos
XIII;MATERIAIS EL?TRICOS;90;1200900;8547;"Pe?as isolantes inteiramente de mat?rias isolantes, ou com simples pe?as met?licas de montagem (suportes roscados, por exemplo) incorporadas na massa, para m?quinas, aparelhos e instala??es el?tricas tubos isoladores e suas pe?as de liga??o, de metais comuns, isolados interiormente?"
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;10;1300100;"30033004";Medicamentos de refer?ncia - positiva, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;11;1300101;"30033004";Medicamentos de refer?ncia - negativa, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;12;1300102;"30033004";Medicamentos de refer?ncia - neutra, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;20;1300200;"30033004";Medicamentos gen?rico - positiva, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;21;1300201;"30033004";Medicamentos gen?rico - negativa, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;22;1300202;"30033004";Medicamentos gen?rico - neutra, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;30;1300300;"30033004";Medicamentos similar - positiva, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;31;1300301;"30033004";Medicamentos similar - negativa, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;32;1300302;"30033004";Medicamentos similar - neutra, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;40;1300400;"30033004";Outros tipos de medicamentos - positiva, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;41;1300401;"30033004";Outros tipos de medicamentos - negativa, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;42;1300402;"30033004";Outros tipos de medicamentos - neutra, exceto para uso veterin?rio
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;50;1300500;3006.60.00;Prepara??es qu?micas contraceptivas de refer?ncia, ? base de horm?nios, de outros produtos da posi??o 29.37 ou de espermicidas - positiva.
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;51;1300501;3006.60.00;Prepara??es qu?micas contraceptivas de refer?ncia, ? base de horm?nios, de outros produtos da posi??o 29.37 ou de espermicidas - negativa.
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;52;1300502;3006.60.00;Prepara??es qu?micas contraceptivas gen?rico, ? base de horm?nios, de outros produtos da posi??o 29.37 ou de espermicidas ? positiva.
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;53;1300503;3006.60.00;Prepara??es qu?micas contraceptivas gen?rico, ? base de horm?nios, de outros produtos da posi??o 29.37 ou de espermicidas ? negativa.
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;54;1300504;3006.60.00;Prepara??es qu?micas contraceptivas similar, ? base de horm?nios, de outros produtos da posi??o 29.37 ou de espermicidas ? positiva.
XIV;MEDICAMENTOS DE USO HUMANO E OUTROS PRODUTOS;55;1300505;3006.60.00;Prepara??es qu?micas contraceptivas similar, ? base de horm?nios, de outros produtos da posi??o 29.37 ou de espermicidas ? negativa.
