CFOP;Descri????o Resumida do CFOP;Aplica????o
2126;2.126 - Compra p/ utiliza????o na presta????o de servi??o sujeita ao ICMS;Classificam-se neste c??digo as entradas de mercadorias a serem utilizadas nas presta????es de servi??os sujeitas ao ICMS (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010). efeitos a partir de 1?? de janeiro de 2011- DECRETO 36.465/2011
2128;2.128 - Compra p/ utiliza????o na presta????o de servi??o sujeita ao ISSQN;Classificam-se neste c??digo as entradas de mercadorias a serem utilizadas nas presta????es de servi??os sujeitas ao ISSQN. (AJUSTE SINIEF 4, DE 9 DE JULHO DE 2010) efeitos a partir de 1?? de janeiro de 2011- DECRETO 36.465/2011
2131;2.131 - Entrada de mercadoria com previs??o de posterior ajuste ou fixa????o de pre??o, decorrente de opera????o de ato cooperativo;Classificam-se neste c??digo as entradas de mercadorias com previs??o de posterior ajuste ou fixa????o de pre??o, proveniente de cooperado, bem como proveniente de outra cooperativa, em que a sa??da tenha sido classificada no c??digo ???6.131 - Remessa de produ????o do estabelecimento com previs??o de posterior ajuste ou fixa????o de pre??o.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
2132;2.132 - Fixa????o de pre??o de produ????o do estabelecimento produtor, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o, em ato cooperativo, para comercializa????o;Classificam-se neste c??digo as entradas para comercializa????o referentes a fixa????o de pre??o de produ????o do estabelecimento do produtor, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo cuja sa??da tenha sido classificada sob o c??digo ???6.132 - Fixa????o de pre??o de produ????o do estabelecimento, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o ou fixa????o de pre??o de ato cooperativo.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
2135;2.135 - Fixa????o de pre??o de produ????o do estabelecimento produtor, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o, em ato cooperativo, para industrializa????o;Classificam-se neste c??digo as entradas para industrializa????o referentes a fixa????o de pre??o de produ????o do estabelecimento do produtor, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo cuja sa??da tenha sido classificada sob o c??digo ???6.132 - Fixa????o de pre??o de produ????o do estabelecimento, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o ou fixa????o de pre??o de ato cooperativo.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
2151;2.151 - Transfer??ncia p/ industrializa????o ou produ????o rural;"Entrada de mercadoria, recebida em transfer??ncia de outro estabelecimento da mesma empresa, para ser utilizada em processo de industrializa????o ou produ????o rural.(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2152;2.152 - Transfer??ncia p/ comercializa????o;Classificam-se neste c??digo as entradas de mercadorias recebidas em transfer??ncia de outro estabelecimento da mesma empresa, para serem comercializadas.
2153;2.153 - Transfer??ncia de energia el??trica p/ distribui????o;Classificam-se neste c??digo as entradas de energia el??trica recebida em transfer??ncia de outro estabelecimento da mesma empresa, para distribui????o.
2154;2.154 - Transfer??ncia p/ utiliza????o na presta????o de servi??o;Classificam-se neste c??digo as entradas de mercadorias recebidas em transfer??ncia de outro estabelecimento da mesma empresa, para serem utilizadas nas presta????es de servi??os.
2159;2.159 - Entrada decorrente do fornecimento de produto ou mercadoria de ato cooperativo;"Classificam-se neste c??digo as entradas decorrentes de fornecimento de produtos ou mercadorias por estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujo fornecimento tenha sido classificado no c??digo ""6.159 ??? Fornecimento de produ????o do estabelecimento de ato cooperativo??? ou ???6.160 ??? Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo???."
2201;2.201 - Devolu????o de venda de produ????o do estabelecimento;"Devolu????o de venda de produto industrializado ou produzido pelo estabelecimento, cuja sa??da tenha sido classificada no c??digo ""6.101 - Venda de produ????o do estabelecimento"".(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2202;2.202 - Devolu????o de venda de mercadoria adquirida ou recebida de terceiros;Devolu????o de vendas de mercadoria, adquirida ou recebida de terceiro, que n??o tenham sido objeto de industrializa????o no estabelecimento, cuja sa??da tenha sido classificada como Venda de mercadoria adquirida ou recebida de terceiros.
2203;2.203 - Devolu????o de venda de produ????o do estabelecimento destinada ?? ZFM ou ALC;"Devolu????o de venda de produto industrializado ou produzido pelo estabelecimento, cuja sa??da tenha sido classificada no c??digo ""6.109 ??? Venda de produ????o do estabelecimento destinada ?? Zona Franca de Manaus ou ??reas de Livre Com??rcio"".(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2204;2.204 - Devolu????o de venda de mercadoria adquirida ou recebida de terceiros, destinada ?? ZFM ou ALC;Devolu????o de venda de mercadoria adquirida ou recebida de terceiro, cuja sa??da tenha sido classificada no c??digo ???6.110 - Venda de mercadoria adquirida ou recebida de terceiros, destinada ?? Zona Franca de Manaus ou ??reas de Livre Com??rcio???.
2205;2.205 - Anula????o de valor relativo ?? presta????o de servi??o de comunica????o;Anula????o correspondente a valor faturado indevidamente, decorrente de presta????o de servi??o de comunica????o.
2206;2.206 - Anula????o de valor relativo ?? presta????o de servi??o de transporte;Anula????o correspondente a valor faturado indevidamente, decorrente de presta????o de servi??o de transporte.
2207;2.207 - Anula????o de valor relativo ?? venda de energia el??trica;Anula????o correspondente a valor faturado indevidamente, decorrente de venda de energia el??trica.
2208;2.208 - Devolu????o de produ????o do estabelecimento, remetida em transfer??ncia.;"Devolu????o de produto industrializado ou produzido pelo estabelecimento e transferido para outro estabelecimento da mesma empresa.(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2209;2.209 - Devolu????o de mercadoria adquirida ou recebida de terceiros e remetida em transfer??ncia;Devolu????o de mercadoria adquirida ou recebida de terceiros, transferidas para outros estabelecimentos da mesma empresa.
2212;2.212 - Devolu????o de venda no mercado interno de mercadoria industrializada e insumo importado sob o Regime Aduaneiro Especial de Entreposto Industrial (Recof-Sped);Classificam-se neste c??digo as devolu????es de vendas de produtos industrializados e insumos importados pelo estabelecimento. (AJUSTE SINIEF 5, DE 7 DE MAR??O DE 2016) efeitos a partir de 1?? de abril de 2016.
2213;2.213 - Devolu????o de remessa de produ????o do estabelecimento com previs??o de posterior ajuste ou fixa????o de pre??o, em ato cooperativo;Classificam-se neste c??digo as devolu????es de remessa que tenham sido classificadas no c??digo ???6.131 - Remessa de produ????o do estabelecimento, com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
2214;2.214 - Devolu????o de fixa????o de pre??o de produ????o do estabelecimento produtor, de ato cooperativo;Classificam-se neste c??digo as devolu????es de fixa????o de pre??o de produ????o do estabelecimento produtor cuja sa??da tenha sido classificada no c??digo ???6.132 - Fixa????o de pre??o de produ????o do estabelecimento, inclusive quando remetidas anteriormente com previs??o de posterior ajuste ou fixa????o de pre??o de ato cooperativo.??? (AJUSTE SINIEF 18, DE 29 DE SETEMBRO DE 2017) efeitos a partir de 1?? de janeiro de 2018.
2215;2.215 - Devolu????o de fornecimento de produ????o do estabelecimento de ato cooperativo;Classificam-se neste c??digo as devolu????es de fornecimentos de produtos industrializados ou produzidos pelo pr??prio estabelecimento de cooperativa destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujas sa??das tenham sido classificadas no c??digo 6.159 - Fornecimento de produ????o do estabelecimento de ato cooperativo.
2216;2.216 - Devolu????o de fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo;Classificam-se neste c??digo as devolu????es de fornecimentos de mercadorias adquiridas ou recebidas de terceiros, que n??o tenham sido objeto de qualquer processo industrial no estabelecimento de cooperativa, destinados a seus cooperados ou a estabelecimento de outra cooperativa, cujas sa??das tenham sido classificadas no c??digo 6.160 - Fornecimento de mercadoria adquirida ou recebida de terceiros de ato cooperativo.
2251;2.251 - Compra de energia el??trica p/ distribui????o ou comercializa????o;Classificam-se neste c??digo as compras de energia el??trica utilizada em sistema de distribui????o ou comercializa????o. Tamb??m ser??o classificadas neste c??digo as compras de energia el??trica por cooperativas para distribui????o com seus cooperados.
2252;2.252 - Compra de energia el??trica por estabelecimento industrial;Classificam-se neste c??digo as compras de energia el??trica utilizada no processo de industrializa????o. Tamb??m ser??o classificadas neste c??digo as compras de energia el??trica utilizada por estabelecimento industrial de cooperativa.
2253;2.253 - Compra de energia el??trica por estabelecimento comercial;Classificam-se neste c??digo as compras de energia el??trica utilizada por estabelecimento comercial. Tamb??m ser??o classificadas neste c??digo as compras de energia el??trica utilizada por estabelecimento comercial de cooperativa.
2254;2.254 - Compra de energia el??trica por estabelecimento prestador de servi??o de transporte;Classificam-se neste c??digo as compras de energia el??trica utilizada por estabelecimento prestador de servi??os de transporte.
2255;2.255 - Compra de energia el??trica por estabelecimento prestador de servi??o de comunica????o;Classificam-se neste c??digo as compras de energia el??trica utilizada por estabelecimento prestador de servi??os de comunica????o.
2256;2.256 - Compra de energia el??trica por estabelecimento de produtor rural;Classificam-se neste c??digo as compras de energia el??trica utilizada por estabelecimento de produtor rural.
2257;2.257 - Compra de energia el??trica p/ consumo por demanda contratada;Classificam-se neste c??digo as compras de energia el??trica para consumo por demanda contratada, que prevalecer?? sobre os demais c??digos deste subgrupo.
2301;2.301 - Aquisi????o de servi??o de comunica????o p/ execu????o de servi??o da mesma natureza;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados nas presta????es de servi??os da mesma natureza.
2302;2.302 - Aquisi????o de servi??o de comunica????o por estabelecimento industrial;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento industrial. Tamb??m ser??o classificadas neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento industrial de cooperativa.
2303;2.303 - Aquisi????o de servi??o de comunica????o por estabelecimento comercial;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento comercial. Tamb??m ser??o classificadas neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento comercial de cooperativa.
2304;2.304 - Aquisi????o de servi??o de comunica????o por estabelecimento de prestador de servi??o de transporte;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizado por estabelecimento prestador de servi??o de transporte.
2305;2.305 - Aquisi????o de servi??o de comunica????o por estabelecimento de geradora ou de distribuidora de energia el??trica;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento de geradora ou de distribuidora de energia el??trica.
2306;2.306 - Aquisi????o de servi??o de comunica????o por estabelecimento de produtor rural;Classificam-se neste c??digo as aquisi????es de servi??os de comunica????o utilizados por estabelecimento de produtor rural.
2351;2.351 - Aquisi????o de servi??o de transporte p/ execu????o de servi??o da mesma natureza;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados nas presta????es de servi??os da mesma natureza.
2352;2.352 - Aquisi????o de servi??o de transporte por estabelecimento industrial;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento industrial. Tamb??m ser??o classificadas neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento industrial de cooperativa.
2353;2.353 - Aquisi????o de servi??o de transporte por estabelecimento comercial;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento comercial. Tamb??m ser??o classificadas neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento comercial de cooperativa.
2354;2.354 - Aquisi????o de servi??o de transporte por estabelecimento de prestador de servi??o de comunica????o;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento prestador de servi??os de comunica????o.
2355;2.355 - Aquisi????o de servi??o de transporte por estabelecimento de geradora ou de distribuidora de energia el??trica;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento de geradora ou de distribuidora de energia el??trica.
2356;2.356 - Aquisi????o de servi??o de transporte por estabelecimento de produtor rural;Classificam-se neste c??digo as aquisi????es de servi??os de transporte utilizados por estabelecimento de produtor rural.
2401;2.401 - Compra p/ industrializa????o ou produ????o rural de mercadoria sujeita a ST;"Compra de mercadoria, sujeita ao regime de substitui????o tribut??ria, a ser utilizada em processo de industrializa????o ou produ????o rural, bem como compra, por estabelecimento industrial ou produtor rural de cooperativa, de mercadoria sujeita ao mencionado regime.(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2403;2.403 - Compra p/ comercializa????o em opera????o com mercadoria sujeita a ST;Classificam-se neste c??digo as compras de mercadorias a serem comercializadas, decorrentes de opera????es com mercadorias sujeitas ao regime de substitui????o tribut??ria. Tamb??m ser??o classificadas neste c??digo as compras de mercadorias sujeitas ao regime de substitui????o tribut??ria em estabelecimento comercial de cooperativa.
2406;2.406 - Compra de bem p/ o ativo imobilizado cuja mercadoria est?? sujeita a ST;Classificam-se neste c??digo as compras de bens destinados ao ativo imobilizado do estabelecimento, em opera????es com mercadorias sujeitas ao regime de substitui????o tribut??ria.
2407;2.407 - Compra de mercadoria p/ uso ou consumo cuja mercadoria est?? sujeita a ST;Classificam-se neste c??digo as compras de mercadorias destinadas ao uso ou consumo do estabelecimento, em opera????es com mercadorias sujeitas ao regime de substitui????o tribut??ria.
2408;2.408 - Transfer??ncia p/ industrializa????o ou produ????o rural de mercadoria sujeita a ST;"Entrada de mercadoria, sujeita ao regime de substitui????o tribut??ria, recebida em transfer??ncia de outro estabelecimento da mesma empresa, para ser industrializada ou consumida na produ????o rural no estabelecimento destinat??rio.(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2409;2.409 - Transfer??ncia p/ comercializa????o em opera????o com mercadoria sujeita a ST;Classificam-se neste c??digo as mercadorias recebidas em transfer??ncia de outro estabelecimento da mesma empresa, para serem comercializadas, decorrentes de opera????es sujeitas ao regime de substitui????o tribut??ria.
2410;2.410 - Devolu????o de venda de produ????o do estabelecimento, quando o produto sujeito a ST;"Devolu????o de produto industrializado ou produzido pelo estabelecimento, cuja sa??da tenha sido classificada como ""Venda de produ????o do estabelecimento quando o produto estiver sujeito ao regime de substitui????o tribut??ria"".(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2411;2.411 - Devolu????o de venda de mercadoria adquirida ou recebida de terceiros em opera????o com mercadoria sujeita a ST;Devolu????o de vendas de mercadoria adquirida ou recebida de terceiro, cuja sa??da tenha sido classificada como ???Venda de mercadoria adquirida ou recebida de terceiros em opera????o com mercadoria sujeita ao regime de substitui????o tribut??ria???.
2414;2.414 - Retorno de produ????o do estabelecimento, remetida p/ venda fora do estabelecimento, quando o produto sujeito a ST;"Entrada, em retorno, de produto industrializado ou produzido pelo estabelecimento sujeito ao regime de substitui????o tribut??ria, remetido para venda fora do estabelecimento, inclusive por meio de ve??culo, e n??o comercializado.(NR Ajuste SINIEF 05/2005) (Dec. 28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2415;2.415 - Retorno de mercadoria adquirida ou recebida de terceiros, remetida p/ venda fora do estabelecimento em opera????o com mercadoria sujeita a ST;Entrada, em retorno, de mercadoria sujeita ao regime de substitui????o tribut??ria,adquirida ou recebida de terceiro remetida para venda fora do estabelecimento, inclusive por meio de ve??culo, e n??o comercializada.
2451;2.451 - Entrada de animal - Sistema de Integra????o e Parceria Rural;"Classificam-se neste c??digo as entradas de animais pelo sistema integrado e de produ????o animal, para cria????o, recria????o ou engorda,inclusive em sistema de confinamento. Tamb??m ser??o classificadas neste c??digo as entradas do sistema de integra????o e produ????oanimal decorrentes de ???ato cooperativo???, inclusive as opera????es entre cooperativa singular e cooperativa central."
2452;2.452 - Entrada de insumo - Sistema de Integra????o e Parceria Rural;"Classificam-se neste c??digo as entradas de insumos pelo sistema integrado e de produ????o animal, para cria????o, recria????o ou engorda,inclusive em sistema de confinamento. Tamb??m ser??o classificadas neste c??digo as entradas do sistema de integra????o e produ????oanimal decorrentes de ???ato cooperativo???, inclusive as opera????es entre cooperativa singular e cooperativa central."
2453;2.453 -  Retorno do animal ou da produ????o - Sistema de Integra????o e Parceria Rural;Classificam-se neste c??digo as entradas referentes ao retorno da produ????o, bem como dos de animais criados, recriados ou engordados pelo produtor no sistema integrado e de produ????o animal, cujas sa??das tenham sido classificadas no c??digo ???6.453 - Retorno de animal ou da produ????o - Sistema de Integra????o e Parceria Rural???. Tamb??m ser??o classificados neste c??digo os retornos do sistema de integra????o e produ????o animal decorrentes de ???ato cooperativo???, inclusive as opera????es entre cooperativa singular e cooperativa central.
2454;2.454 - Retorno simb??lico do animal ou da produ????o - Sistema de Integra????o e Parceria Rural.;Classificam-se neste c??digo as entradas referentes ao retorno simb??lico da produ????o, bem como dos de animais criados, recriados ou engordados pelo produtor no sistema integrado e de produ????o animal, cujas sa??das tenham sido classificadas no c??digo ???6.454 - Retorno simb??lico de animal ou da produ????o - Sistema de Integra????o e Parceria Rural.
2455;2.455 - Retorno de insumo n??o utilizado na produ????o - Sistema de Integra????o e Parceria Rural;Classificam-se neste c??digo os retornos de insumos n??o utilizados pelo produtor na cria????o, recria????o ou engorda de animais pelo sistema integrado e de produ????o animal, cujas sa??das tenham sido classificadas no c??digo ???6.455 - Retorno de insumos n??o utilizados na produ????o ??? Sistema de Integra????o e Parceria Rural???, inclusive as opera????es entre cooperativa singular e cooperativa central
2456;2.456 - Entrada referente a remunera????o do produtor no Sistema de Integra????o e Parceria Rural;"Classificam-se neste c??digo as entradas da parcela da produ????o do produtor realizadas em sistema de integra????o e produ????o animal,quando da entrega ao integrador ou parceiro. Tamb??m ser??o classificadas neste c??digo as entradas decorrentes de ???ato cooperativo???,inclusive as opera????es entre cooperativa singular e cooperativa central.???"
2501;2.501 - Entrada de mercadoria recebida com fim espec??fico de exporta????o;Classificam-se neste c??digo as entradas de mercadorias em estabelecimento de trading company, empresa comercial exportadora ou outro estabelecimento do remetente, com fim espec??fico de exporta????o.
2503;2.503 - Entrada decorrente de devolu????o de produto industrializado pelo estabelecimento, remetido com fim espec??fico de exporta????o;"Devolu????o de produto industrializado ou produzido pelo estabelecimento, remetido a ""trading company"", a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim espec??fico de exporta????o, cuja sa??da tenha sido classificada no c??digo ""6.501 ??? Remessa de produ????o do estabelecimento com fim espec??fico de exporta????o"".(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2504;2.504 - Entrada decorrente de devolu????o de mercadoria remetida com fim espec??fico de exporta????o, adquirida ou recebida de terceiros;Classificam-se neste c??digo as devolu????es de mercadorias adquiridas ou recebidas de terceiros remetidas a trading company, a empresa comercial exportadora ou a outro estabelecimento do remetente, com fim espec??fico de exporta????o, cujas sa??das tenham sido classificadas no c??digo 6.502 - Remessa de mercadoria adquirida ou recebida de terceiros, com fim espec??fico de exporta????o.
2505;2.505 - Entrada decorrente de devolu????o de mercadorias remetidas para forma????o de lote de exporta????o, de produtos industrializados ou produzidos pelo pr??prio estabelecimento;Classificam-se neste c??digo as devolu????es simb??licas ou f??sicas de mercadorias, bem como o retorno de mercadorias n??o entregues, remetidas para forma????o de lote de exporta????o, cujas sa??das tenham sido classificadas no c??digo ???6.504 - Remessa de mercadorias para forma????o de lote de exporta????o, de produtos industrializados ou produzidos pelo pr??prio estabelecimento???
2506;2.506 - Entrada decorrente de devolu????o de mercadorias, adquiridas ou recebidas de terceiros, remetidas para forma????o de lote de exporta????o;Classificam-se neste c??digo as devolu????es simb??licas ou f??sicas de mercadorias, bem como o retorno de mercadorias n??o entregues, remetidas para forma????o de lote de exporta????o em armaz??ns alfandegados, entrepostos aduaneiros ou outros estabelecimentos que venham a ser regulamentados pela legisla????o tribut??ria de cada Unidade Federada, efetuadas pelo estabelecimento deposit??rio, cujas sa??das tenham sido classificadas no c??digo ???6.505 - Remessa de mercadorias, adquiridas ou recebidas de terceiros, para forma????o de lote de exporta????o???.
2551;2.551 - Compra de bem p/ o ativo imobilizado;Classificam-se neste c??digo as compras de bens destinados ao ativo imobilizado do estabelecimento.
2552;2.552 - Transfer??ncia de bem do ativo imobilizado;Classificam-se neste c??digo as entradas de bens destinados ao ativo imobilizado recebidos em transfer??ncia de outro estabelecimento da mesma empresa.
2553;2.553 - Devolu????o de venda de bem do ativo imobilizado;Classificam-se neste c??digo as devolu????es de vendas de bens do ativo imobilizado, cujas sa??das tenham sido classificadas no c??digo 6.551 - Venda de bem do ativo imobilizado.
2554;2.554 - Retorno de bem do ativo imobilizado remetido p/ uso fora do estabelecimento;Classificam-se neste c??digo as entradas por retorno de bens do ativo imobilizado remetidos para uso fora do estabelecimento, cujas sa??das tenham sido classificadas no c??digo 6.554 - Remessa de bem do ativo imobilizado para uso fora do estabelecimento.
2555;2.555 - Entrada de bem do ativo imobilizado de terceiro, remetido p/ uso no estabelecimento;Classificam-se neste c??digo as entradas de bens do ativo imobilizado de terceiros, remetidos para uso no estabelecimento.
2556;2.556 - Compra de material p/ uso ou consumo;Classificam-se neste c??digo as compras de mercadorias destinadas ao uso ou consumo do estabelecimento.
2557;2.557 - Transfer??ncia de material p/ uso ou consumo;Classificam-se neste c??digo as entradas de materiais para uso ou consumo recebidos em transfer??ncia de outro estabelecimento da mesma empresa.
2603;2.603 - Ressarcimento de ICMS retido por substitui????o tribut??ria;Classificam-se neste c??digo os lan??amentos destinados ao registro de ressarcimento de ICMS retido por substitui????o tribut??ria a contribuinte substitu??do, efetuado pelo contribuinte substituto, nas hip??teses previstas na legisla????o aplic??vel.
2651;2.651 - Compra de combust??vel ou lubrificante p/ industrializa????o subseq??ente;Compra de combust??vel ou lubrificante a ser utilizados em processo de industrializa????o do pr??prio produto. (a partir 01.01.2004 - Decreto N?? 26.174 de 26/11/2003)
2652;2.652 - Compra de combust??vel ou lubrificante p/ comercializa????o;"Compra de combust??vel ou lubrificante a ser comercializados.(a partir 01.01.2004 - Decreto N?? 26.174 de 26/11/2003)"
2653;2.653 - Compra de combust??vel ou lubrificante por consumidor ou usu??rio final;"Compra de combust??vel ou lubrificante, a ser consumidos em processo de industrializa????o de outros produtos, na produ????o rural, na presta????o de servi??o ou por usu??rio final.(NR Ajuste SINIEF 05/2005) (Dec.28.868/2006 - Efeitos a partir de 01/01/2006, ficando facultada ao contribuinte a sua ado????o para fatos geradores ocorridos no per??odo de 01 de novembro a 31 de dezembro de 2005)"
2657;2.657 - Retorno de remessa de combust??vel ou lubrificante para venda fora do estabelecimento;Classificam-se neste c??digo as entradas em retorno de combust??vel ou lubrificante remetidos para venda fora do estabelecimento, inclusive por meio de ve??culos, e n??o comercializados
2658;2.658 - Transfer??ncia de combust??vel ou lubrificante p/ industrializa????o;Entrada de combust??vel ou lubrificante, recebidos em transfer??ncia de outro estabelecimento da mesma empresa, para ser utilizados em processo de industrializa????o do pr??prio produto. (a partir 01.01.2004 - Decreto N?? 26.174 de 26/11/2003)
2659;2.659 - Transfer??ncia de combust??vel ou lubrificante p/ comercializa????o;Entrada de combust??vel ou lubrificante, recebidos em transfer??ncia de outro estabelecimento da mesma empresa, para ser comercializados. (a partir 01.01.2004 - Decreto N?? 26.174 de 26/11/2003)
2660;2.660 - Devolu????o de venda de combust??vel ou lubrificante destinados ?? industrializa????o subseq??ente;"Devolu????o de venda de combust??vel ou lubrificante, cuja sa??da tenha sido classificada como ""Venda de combust??vel ou lubrificante destinados ?? industrializa????o subseq??ente"".(a partir 01.01.2004 - Decreto N?? 26.174 de 26/11/2003)"
2661;2.661 - Devolu????o de venda de combust??vel ou lubrificante destinados ?? comercializa????o;"Devolu????o de venda de combust??vel ou lubrificante, cuja sa??da tenha sido classificada como ""Venda de combust??vel ou lubrificante para comercializa????o"".(a partir 01.01.2004 - Decreto N?? 26.174 de 26/11/2003)"
2662;2.662 - Devolu????o de venda de combust??vel ou lubrificante destinados a consumidor ou usu??rio final;"Devolu????o de venda de combust??vel ou lubrificante, cuja sa??da tenha sido classificada como ""Venda de combust??vel ou lubrificante por consumidor ou usu??rio final"".(a partir 01.01.2004 - Decreto N?? 26.174 de 26/11/2003)"
2663;2.663 - Entrada de combust??vel ou lubrificante p/ armazenagem;Entrada de combust??vel ou lubrificante para armazenagem. (a partir 01.01.2004 - Decreto N?? 26.174 de 26/11/2003)
2664;2.664 - Retorno de combust??vel ou lubrificante remetidos p/ armazenagem;Entrada, ainda que simb??lica, por retorno de combust??vel ou lubrificante, remetidos para armazenagem. (a partir 01.01.2004 - Decreto N?? 26.174 de 26/11/2003)
2901;2.901 - Entrada p/ industrializa????o por encomenda;Classificam-se neste c??digo as entradas de insumos recebidos para industrializa????o por encomenda de outra empresa ou de outro estabelecimento da mesma empresa.
2902;2.902 - Retorno de mercadoria remetida p/ industrializa????o por encomenda;Classificam-se neste c??digo o retorno dos insumos remetidos para industrializa????o por encomenda, incorporados ao produto final pelo estabelecimento industrializador.
2903;2.903 - Entrada de mercadoria remetida p/ industrializa????o e n??o aplicada no referido processo;Classificam-se neste c??digo as entradas em devolu????o de insumos remetidos para industrializa????o e n??o aplicados no referido processo.
2904;2.904 - Retorno de remessa p/ venda fora do estabelecimento;Classificam-se neste c??digo as entradas em retorno de mercadorias remetidas para venda fora do estabelecimento, inclusive por meio de ve??culos, e n??o comercializadas.
2905;2.905 - Entrada de mercadoria recebida p/ dep??sito em dep??sito fechado ou armaz??m geral;Classificam-se neste c??digo as entradas de mercadorias recebidas para dep??sito em dep??sito fechado ou armaz??m geral.
2906;2.906 - Retorno de mercadoria remetida p/ dep??sito fechado ou armaz??m geral;Classificam-se neste c??digo as entradas em retorno de mercadorias remetidas para dep??sito em dep??sito fechado ou armaz??m geral.
2907;2.907 - Retorno simb??lico de mercadoria remetida p/ dep??sito fechado ou armaz??m geral;Classificam-se neste c??digo as entradas em retorno simb??lico de mercadorias remetidas para dep??sito em dep??sito fechado ou armaz??m geral, quando as mercadorias depositadas tenham sido objeto de sa??da a qualquer t??tulo e que n??o tenham retornado ao estabelecimento depositante.
2908;2.908 - Entrada de bem por conta de contrato de comodato ou loca????o;Classificam-se neste c??digo as entradas de bens recebidos em cumprimento de contrato de comodato ou loca????o.
